date,review_count
2023-11-27,488
2023-11-28,469
2023-11-29,448
2023-11-30,423
2023-12-01,401
2023-12-02,418
2023-12-03,417
2023-12-04,375
2023-12-05,405
2023-12-06,432
2023-12-07,408
2023-12-08,401
2023-12-09,372
2023-12-10,377
2023-12-11,363
2023-12-12,346
2023-12-13,337
2023-12-14,318
2023-12-15,285
2023-12-16,262
2023-12-17,273
2023-12-18,274
2023-12-19,289
2023-12-20,345
2023-12-21,295
2023-12-22,304
2023-12-23,279
2023-12-24,309
2023-12-25,350
2023-12-26,283
2023-12-27,310
2023-12-28,283
2023-12-29,277
2023-12-30,299
2023-12-31,288
2024-01-01,278
2024-01-02,300
2024-01-03,302
2024-01-04,283
2024-01-05,314
2024-01-06,270
2024-01-07,389
2024-01-08,307
2024-01-09,333
2024-01-10,343
2024-01-11,302
2024-01-12,277
2024-01-13,289
2024-01-14,292
2024-01-15,296
2024-01-16,291
2024-01-17,332
2024-01-18,342
2024-01-19,312
2024-01-20,269
2024-01-21,302
2024-01-22,294
2024-01-23,290
2024-01-24,274
2024-01-25,270
2024-01-26,272
2024-01-27,254
2024-01-28,320
2024-01-29,304
2024-01-30,304
2024-01-31,308
2024-02-01,279
2024-02-02,273
2024-02-03,227
2024-02-04,259
2024-02-05,263
2024-02-06,286
2024-02-07,253
2024-02-08,256
2024-02-09,269
2024-02-10,260
2024-02-11,275
2024-02-12,280
2024-02-13,355
2024-02-14,307
2024-02-15,345
2024-02-16,304
2024-02-17,273
2024-02-18,351
2024-02-19,328
2024-02-20,348
2024-02-21,354
2024-02-22,304
2024-02-23,307
2024-02-24,322
2024-02-25,347
2024-02-26,337
2024-02-27,336
2024-02-28,345
2024-02-29,305
2024-03-01,293
2024-03-02,276
2024-03-03,301
2024-03-04,294
2024-03-05,338
2024-03-06,361
2024-03-07,266
2024-03-08,254
2024-03-09,201
2024-03-10,204
2024-03-11,168
2024-03-12,188
2024-03-13,209
2024-03-14,194
2024-03-15,175
2024-03-16,163
2024-03-17,196
2024-03-18,195
2024-03-19,219
2024-03-20,331
2024-03-21,615
2024-03-22,802
2024-03-23,949
2024-03-24,1053
2024-03-25,1090
2024-03-26,1121
2024-03-27,1059
2024-03-28,953
2024-03-29,951
2024-03-30,874
2024-03-31,882
2024-04-01,965
2024-04-02,1010
2024-04-03,960
2024-04-04,904
2024-04-05,780
2024-04-06,697
2024-04-07,778
2024-04-08,719
2024-04-09,702
2024-04-10,624
2024-04-11,717
